,Date,ON_Rate
0,1997-01-02,5.94
1,1997-01-03,6.03
2,1997-01-06,5.9
3,1997-01-07,5.94
4,1997-01-08,5.96
5,1997-01-09,5.63
6,1997-01-10,5.43
7,1997-01-13,5.49
8,1997-01-14,5.49
9,1997-01-15,5.44
10,1997-01-16,6.09
11,1997-01-17,5.7
12,1997-01-20,6.05
13,1997-01-21,6.23
14,1997-01-22,6.07
15,1997-01-23,6.16
16,1997-01-24,6.11
17,1997-01-27,5.95
18,1997-01-28,5.71
19,1997-01-29,5.97
20,1997-01-30,6.33
21,1997-01-31,6.19
22,1997-02-03,6.37
23,1997-02-04,6.12
24,1997-02-05,6.33
25,1997-02-06,6.39
26,1997-02-07,5.87
27,1997-02-10,5.81
28,1997-02-11,5.98
29,1997-02-12,6.22
30,1997-02-13,6.07
31,1997-02-14,5.62
32,1997-02-17,5.8
33,1997-02-18,5.97
34,1997-02-19,6.08
35,1997-02-20,6.11
36,1997-02-21,5.96
37,1997-02-24,5.76
38,1997-02-25,5.78
39,1997-02-26,5.75
40,1997-02-27,5.92
41,1997-02-28,5.79
42,1997-03-03,5.86
43,1997-03-04,5.82
44,1997-03-05,5.89
45,1997-03-06,5.94
46,1997-03-07,5.98
47,1997-03-10,5.95
48,1997-03-11,6.01
49,1997-03-12,5.93
50,1997-03-13,6.03
51,1997-03-14,5.88
52,1997-03-17,5.89
53,1997-03-18,5.99
54,1997-03-19,6.09
55,1997-03-20,6.09
56,1997-03-21,5.94
57,1997-03-24,5.9936
58,1997-03-25,5.9704
59,1997-03-26,6.0541
60,1997-03-27,6.0282
61,1997-04-01,6.047
62,1997-04-02,6.0667
63,1997-04-03,6.0966
64,1997-04-04,5.9805
65,1997-04-07,5.9914
66,1997-04-08,5.9531
67,1997-04-09,5.9092
68,1997-04-10,5.8762
69,1997-04-11,5.837
70,1997-04-14,5.8153
71,1997-04-15,5.7927
72,1997-04-16,5.9322
73,1997-04-17,5.7946
74,1997-04-18,5.8419
75,1997-04-21,5.9728
76,1997-04-22,6.0128
77,1997-04-23,6.0719
78,1997-04-24,6.0287
79,1997-04-25,6.0061
80,1997-04-28,5.8343
81,1997-04-29,6.0352
82,1997-04-30,6.2641
83,1997-05-01,6.255
84,1997-05-02,5.708
85,1997-05-06,6.0773
86,1997-05-07,6.0565
87,1997-05-08,6.368
88,1997-05-09,6.0275
89,1997-05-12,6.1702
90,1997-05-13,6.223
91,1997-05-14,6.3554
92,1997-05-15,6.27
93,1997-05-16,5.9929
94,1997-05-19,6.182
95,1997-05-20,6.517
96,1997-05-21,6.4526
97,1997-05-22,6.5741
98,1997-05-23,6.1627
99,1997-05-27,6.1196
100,1997-05-28,6.3723
101,1997-05-29,6.1181
102,1997-05-30,6.3054
103,1997-06-02,6.2818
104,1997-06-03,6.0949
105,1997-06-04,5.899
106,1997-06-05,5.6797
107,1997-06-06,6.0647
108,1997-06-09,6.2546
109,1997-06-10,6.158
110,1997-06-11,6.0526
111,1997-06-12,6.0874
112,1997-06-13,6.1791
113,1997-06-16,6.4154
114,1997-06-17,6.1908
115,1997-06-18,6.3885
116,1997-06-19,6.274
117,1997-06-20,6.2633
118,1997-06-23,6.184
119,1997-06-24,6.2232
120,1997-06-25,6.1684
121,1997-06-26,6.5722
122,1997-06-27,6.2734
123,1997-06-30,6.9709
124,1997-07-01,6.2665
125,1997-07-02,6.5338
126,1997-07-03,6.2536
127,1997-07-04,6.1456
128,1997-07-07,5.9363
129,1997-07-08,5.7439
130,1997-07-09,5.6608
131,1997-07-10,6.2215
132,1997-07-11,6.3955
133,1997-07-14,6.6176
134,1997-07-15,6.8657
135,1997-07-16,6.8464
136,1997-07-17,6.7935
137,1997-07-18,6.8363
138,1997-07-21,6.5966
139,1997-07-22,6.851
140,1997-07-23,6.7531
141,1997-07-24,7.0489
142,1997-07-25,6.6684
143,1997-07-28,6.9891
144,1997-07-29,6.732
145,1997-07-30,6.9145
146,1997-07-31,6.2704
147,1997-08-01,6.719
148,1997-08-04,6.5397
149,1997-08-05,6.4093
150,1997-08-06,6.3451
151,1997-08-07,6.7516
152,1997-08-08,6.9577
153,1997-08-11,7.1183
154,1997-08-12,7.0651
155,1997-08-13,6.9013
156,1997-08-14,7.0908
157,1997-08-15,7.1481
158,1997-08-18,7.1185
159,1997-08-19,7.157
160,1997-08-20,7.1478
161,1997-08-21,7.243
162,1997-08-22,7.0717
163,1997-08-26,7.0814
164,1997-08-27,7.0247
165,1997-08-28,6.9907
166,1997-08-29,7.0956
167,1997-09-01,6.9851
168,1997-09-02,6.98
169,1997-09-03,6.9692
170,1997-09-04,6.9709
171,1997-09-05,6.9266
172,1997-09-08,7.0076
173,1997-09-09,6.9695
174,1997-09-10,6.949
175,1997-09-11,6.9533
176,1997-09-12,6.9506
177,1997-09-15,6.935
178,1997-09-16,6.9138
179,1997-09-17,6.9283
180,1997-09-18,6.9091
181,1997-09-19,6.9781
182,1997-09-22,6.9649
183,1997-09-23,6.9743
184,1997-09-24,6.9992
185,1997-09-25,6.9719
186,1997-09-26,7.0383
187,1997-09-29,7.0345
188,1997-09-30,7.1888
189,1997-10-01,7.1635
190,1997-10-02,7.2098
191,1997-10-03,7.2599
192,1997-10-06,7.1133
193,1997-10-07,7.0445
194,1997-10-08,6.964
195,1997-10-09,6.9847
196,1997-10-10,6.9968
197,1997-10-13,6.9624
198,1997-10-14,7.0972
199,1997-10-15,7.021
200,1997-10-16,7.3716
201,1997-10-17,7.1702
202,1997-10-20,7.0889
203,1997-10-21,7.1666
204,1997-10-22,7.1253
205,1997-10-23,7.1798
206,1997-10-24,7.3692
207,1997-10-27,7.1499
208,1997-10-28,7.1123
209,1997-10-29,7.0839
210,1997-10-30,7.2979
211,1997-10-31,7.4305
212,1997-11-03,7.1574
213,1997-11-04,7.3513
214,1997-11-05,7.2028
215,1997-11-06,7.5268
216,1997-11-07,7.3253
217,1997-11-10,7.2952
218,1997-11-11,7.2655
219,1997-11-12,7.1951
220,1997-11-13,7.2428
221,1997-11-14,7.2064
222,1997-11-17,7.2218
223,1997-11-18,7.0927
224,1997-11-19,6.914
225,1997-11-20,7.3299
226,1997-11-21,7.3279
227,1997-11-24,7.076
228,1997-11-25,7.104
229,1997-11-26,7.1323
230,1997-11-27,7.1298
231,1997-11-28,7.4412
232,1997-12-01,7.1052
233,1997-12-02,7.0676
234,1997-12-03,7.0022
235,1997-12-04,7.3985
236,1997-12-05,7.1187
237,1997-12-08,7.0073
238,1997-12-09,7.0036
239,1997-12-10,7.0607
240,1997-12-11,7.1672
241,1997-12-12,7.109
242,1997-12-15,7.209
243,1997-12-16,7.0927
244,1997-12-17,7.1894
245,1997-12-18,7.0999
246,1997-12-19,7.1217
247,1997-12-22,7.0886
248,1997-12-23,7.3646
249,1997-12-24,7.2171
250,1997-12-29,7.1123
251,1997-12-30,7.1323
252,1997-12-31,7.2275
253,1998-01-02,7.3253
254,1998-01-05,7.1971
255,1998-01-06,7.1974
256,1998-01-07,7.2191
257,1998-01-08,7.1047
258,1998-01-09,7.2907
259,1998-01-12,7.0567
260,1998-01-13,7.102
261,1998-01-14,7.1881
262,1998-01-15,7.3215
263,1998-01-16,7.0926
264,1998-01-19,7.095
265,1998-01-20,7.4181
266,1998-01-21,7.212
267,1998-01-22,7.397
268,1998-01-23,7.4335
269,1998-01-26,7.4987
270,1998-01-27,7.4651
271,1998-01-28,7.2041
272,1998-01-29,7.5685
273,1998-01-30,7.2385
274,1998-02-02,7.2094
275,1998-02-03,7.0308
276,1998-02-04,7.1696
277,1998-02-05,7.5427
278,1998-02-06,7.5117
279,1998-02-09,7.5287
280,1998-02-10,7.5546
281,1998-02-11,7.4754
282,1998-02-12,7.441
283,1998-02-13,7.4273
284,1998-02-16,7.2998
285,1998-02-17,7.4452
286,1998-02-18,7.4228
287,1998-02-19,7.0628
288,1998-02-20,7.3995
289,1998-02-23,7.1337
290,1998-02-24,7.3553
291,1998-02-25,7.1399
292,1998-02-26,7.3316
293,1998-02-27,7.3308
294,1998-03-02,7.2502
295,1998-03-03,7.1356
296,1998-03-04,6.9492
297,1998-03-05,7.7675
298,1998-03-06,7.6866
299,1998-03-09,7.537
300,1998-03-10,7.2252
301,1998-03-11,7.3636
302,1998-03-12,7.2777
303,1998-03-13,7.3345
304,1998-03-16,7.3892
305,1998-03-17,7.2967
306,1998-03-18,7.1154
307,1998-03-19,7.3198
308,1998-03-20,7.2555
309,1998-03-23,8.0638
310,1998-03-24,7.2354
311,1998-03-25,7.8752
312,1998-03-26,7.6576
313,1998-03-27,7.4546
314,1998-03-30,7.2549
315,1998-03-31,7.4277
316,1998-04-01,7.2444
317,1998-04-02,7.3199
318,1998-04-03,7.1312
319,1998-04-06,7.0944
320,1998-04-07,7.2615
321,1998-04-08,6.9509
322,1998-04-09,6.7866
323,1998-04-14,7.0224
324,1998-04-15,7.0335
325,1998-04-16,7.3557
326,1998-04-17,6.843
327,1998-04-20,7.1576
328,1998-04-21,7.206
329,1998-04-22,7.4691
330,1998-04-23,7.2569
331,1998-04-24,7.1997
332,1998-04-27,7.4325
333,1998-04-28,7.1427
334,1998-04-29,7.5222
335,1998-04-30,8.6068
336,1998-05-01,6.8368
337,1998-05-05,7.0288
338,1998-05-06,7.4947
339,1998-05-07,7.1276
340,1998-05-08,7.3057
341,1998-05-11,7.2339
342,1998-05-12,6.9523
343,1998-05-13,7.226
344,1998-05-14,7.3167
345,1998-05-15,7.5049
346,1998-05-18,7.5307
347,1998-05-19,7.1828
348,1998-05-20,7.7215
349,1998-05-21,7.8339
350,1998-05-22,6.7024
351,1998-05-26,6.9119
352,1998-05-27,7.4825
353,1998-05-28,6.9225
354,1998-05-29,7.6161
355,1998-06-01,7.2534
356,1998-06-02,7.0229
357,1998-06-03,7.3212
358,1998-06-04,6.7897
359,1998-06-05,7.1951
360,1998-06-08,7.207
361,1998-06-09,7.1833
362,1998-06-10,7.1854
363,1998-06-11,7.3147
364,1998-06-12,6.9235
365,1998-06-15,7.0721
366,1998-06-16,6.8811
367,1998-06-17,6.8867
368,1998-06-18,7.236
369,1998-06-19,7.105
370,1998-06-22,7.3095
