,Date,Rate_1-Month,Rate_3-Month,Rate_1-Year,Rate_2-Year,Rate_5-Year,Rate_10-Year
0,1995-01-05,6.03,6.43,7.81,8.106,8.652,8.734
1,1995-01-09,6.03,6.5,8.9276,8.095,8.669,8.713
2,1995-01-24,6.31,6.68,7.81,8.001,8.659,8.756
3,1995-02-13,6.62,6.75,7.87,8.433,8.646,8.724
4,1995-02-14,6.62,6.75,7.87,8.419,8.646,8.716
5,1995-02-15,6.56,6.71,7.75,8.268,8.511,8.594
6,1995-02-16,6.5,6.68,7.75,8.267,8.533,8.62
7,1995-02-17,6.5,6.72,7.75,8.28,8.554,8.639
8,1995-02-20,6.56,6.75,7.75,8.318,8.581,8.671
9,1995-04-03,6.34,6.68,7.56,7.971,8.315,8.427
10,1995-04-04,6.31,6.69,7.56,7.97,8.292,8.408
11,1995-04-05,6.25,6.56,7.5,7.9,8.272,8.387
12,1995-04-25,6.5,6.87,7.56,7.913,8.321,8.409
13,1995-04-26,6.5,6.93,7.62,7.841,8.221,8.338
14,1995-05-05,6.75,6.87,7.38,7.832,8.112,8.23
15,1995-05-22,6.25,6.49,7.25,7.513,7.841,8.046
16,1995-05-23,6.18,6.52,7.25,7.468,7.841,8.033
17,1995-05-24,6.15,6.56,7.06,7.286,7.646,7.864
18,1995-05-25,6.18,6.43,7.06,7.284,7.639,7.86
19,1995-05-26,6.31,6.56,7.19,7.387,7.729,7.933
20,1995-05-30,6.37,6.62,7.18,7.338,7.687,7.889
21,1995-05-31,6.43,6.56,7.12,7.394,7.734,7.932
22,1995-06-01,6.37,6.5,6.95,7.167,7.595,7.812
23,1995-06-02,6.37,6.5,6.88,7.017,7.464,7.7
24,1995-06-05,6.37,6.5,6.81,6.983,7.408,7.709
25,1995-06-06,6.37,6.5,6.93,6.981,7.372,7.679
26,1995-06-07,6.37,6.56,6.95,7.051,7.469,7.759
27,1995-06-08,6.43,6.56,7.0,7.218,7.6,7.866
28,1995-06-09,6.37,6.56,7.12,7.532,7.902,8.132
29,1995-06-26,6.56,6.75,7.31,7.603,8.072,8.372
30,1995-06-27,6.75,6.94,7.4,7.617,8.088,8.38
31,1995-06-28,6.69,6.93,7.38,7.711,8.16,8.429
32,1995-06-29,6.62,6.84,7.37,7.775,8.262,8.53
33,1995-07-31,6.75,6.81,7.12,7.188,7.781,8.189
34,1995-08-25,6.68,6.75,6.94,6.969,7.597,8.022
35,1995-09-15,6.71,6.71,6.62,6.679,7.321,7.822
36,1995-09-18,6.75,6.75,6.69,6.757,7.361,7.862
37,1995-09-19,6.68,6.72,6.59,6.755,7.368,7.862
38,1995-09-20,6.88,6.69,6.62,6.752,7.319,7.817
39,1995-09-21,6.71,6.75,6.75,6.782,7.36,7.821
40,1995-09-22,6.81,6.81,6.75,6.916,7.534,7.988
41,1995-12-27,6.81,6.68,6.25,6.008,6.731,7.408
42,1995-12-28,6.68,6.62,6.21,6.196,6.782,7.408
43,1995-12-29,6.56,6.56,6.25,6.336,6.972,7.429
44,1996-01-02,6.44,6.56,6.23,6.351,7.044,7.458
45,1996-01-03,6.37,6.46,6.43,6.423,7.103,7.466
46,1996-01-04,6.43,6.44,6.27,6.528,6.997,7.424
47,1996-01-05,6.5,6.5,6.32,6.392,7.065,7.504
