"Date","Price","Open","High","Low","Change %"
"11/01/2024","4.761","4.769","4.769","4.761","-1.86%"
"10/31/2024","4.851","4.847","4.851","4.830","0.27%"
"10/30/2024","4.838","4.771","4.838","4.767","1.11%"
"10/29/2024","4.785","4.776","4.785","4.776","0.21%"
"10/28/2024","4.775","4.771","4.775","4.771","0.65%"
"10/25/2024","4.744","4.744","4.744","4.744","0.25%"
"10/24/2024","4.732","4.736","4.736","4.732","-0.57%"
"10/23/2024","4.759","4.754","4.759","4.754","0.42%"
"10/22/2024","4.739","4.755","4.755","4.739","-0.38%"
"10/21/2024","4.757","4.757","4.757","4.757","-0.17%"
"10/18/2024","4.765","4.769","4.769","4.765","-0.46%"
"10/17/2024","4.787","4.787","4.787","4.787","0.15%"
"10/16/2024","4.780","4.780","4.780","4.780","-0.44%"
"10/15/2024","4.801","4.805","4.805","4.801","-0.48%"
"10/14/2024","4.824","4.824","4.824","4.824","0.17%"
"10/11/2024","4.816","4.825","4.825","4.825","-1.15%"
"10/10/2024","4.872","4.842","4.872","4.842","0.52%"
"10/09/2024","4.847","4.834","4.847","4.834","0.27%"
"10/08/2024","4.834","4.839","4.839","4.834","-1.35%"
"10/07/2024","4.900","4.904","4.904","4.900","0.31%"
"10/04/2024","4.885","4.919","4.919","4.885","-0.61%"
"10/03/2024","4.915","4.915","4.915","4.915","0.02%"
"10/02/2024","4.914","4.914","4.914","4.914","-0.08%"
"10/01/2024","4.918","4.922","4.922","4.918","-0.16%"
"09/30/2024","4.926","4.926","4.926","4.926","0.57%"
"09/27/2024","4.898","4.902","4.902","4.898","-0.59%"
"09/26/2024","4.927","4.931","4.931","4.927","-0.16%"
"09/25/2024","4.935","4.931","4.935","4.931","0.10%"
"09/24/2024","4.930","4.930","4.930","4.930","-0.10%"
"09/23/2024","4.935","4.931","4.935","4.931","-0.12%"
"09/20/2024","4.941","4.945","4.945","4.945","-0.40%"
"09/19/2024","4.961","4.931","4.961","4.923","0.71%"
"09/18/2024","4.926","4.926","4.926","4.926","0.35%"
"09/17/2024","4.909","4.888","4.909","4.884","0.18%"
"09/16/2024","4.900","4.900","4.900","4.900","-0.22%"
"09/13/2024","4.911","4.937","4.937","4.915","-0.59%"
"09/12/2024","4.940","4.983","4.991","4.940","-1.00%"
"09/11/2024","4.990","4.977","4.990","4.977","0.12%"
"09/10/2024","4.984","4.984","4.984","4.984","0.36%"
"09/09/2024","4.966","4.984","4.984","4.966","-0.28%"
"09/06/2024","4.980","4.962","4.980","4.958","0.04%"
"09/05/2024","4.978","4.970","4.978","4.970","0.53%"
"09/04/2024","4.952","4.960","4.960","4.952","-0.64%"
"09/03/2024","4.984","4.980","4.984","4.980","-0.10%"
"09/02/2024","4.989","4.989","4.989","4.989","0.18%"
"08/30/2024","4.980","4.984","4.984","4.980","-0.14%"
"08/29/2024","4.987","4.978","4.987","4.974","0.20%"
"08/28/2024","4.977","4.977","4.977","4.977","-0.72%"
"08/27/2024","5.013","5.004","5.013","5.004","0.16%"
"08/23/2024","5.005","5.010","5.014","5.005","-0.32%"
"08/22/2024","5.021","5.021","5.021","5.021","0.04%"
"08/21/2024","5.019","5.010","5.019","5.010","0.12%"
"08/20/2024","5.013","5.017","5.017","5.013","-1.01%"
"08/19/2024","5.064","5.064","5.064","5.064","0.56%"
"08/16/2024","5.036","5.036","5.036","5.036","-0.38%"
"08/15/2024","5.055","5.038","5.055","5.038","0.22%"
"08/14/2024","5.044","5.036","5.044","5.036","0.28%"
"08/13/2024","5.030","5.046","5.046","5.030","-0.14%"
"08/12/2024","5.037","5.029","5.037","5.029","0.20%"
"08/09/2024","5.027","5.027","5.027","5.027","-0.22%"
"08/08/2024","5.038","5.025","5.038","5.025","0.22%"
"08/07/2024","5.027","5.031","5.031","5.027","-0.06%"
"08/06/2024","5.030","5.025","5.030","5.025","0.02%"
"08/05/2024","5.029","5.006","5.006","4.984","-0.30%"
"08/02/2024","5.044","5.065","5.065","5.044","-0.30%"
"08/01/2024","5.059","5.119","5.119","5.059","-1.60%"
