"Date","Price","Open","High","Low","Change %"
"11/01/2024","4.3230","4.3210","4.3800","4.2570","0.19%"
"10/31/2024","4.3150","4.2820","4.4200","4.2620","2.06%"
"10/30/2024","4.2280","4.1460","4.2890","4.0810","0.81%"
"10/29/2024","4.1940","4.1310","4.1960","4.1310","1.26%"
"10/28/2024","4.1420","4.1530","4.1610","4.0600","0.93%"
"10/25/2024","4.1040","4.0710","4.1080","4.0590","0.24%"
"10/24/2024","4.0940","4.0940","4.1150","4.0470","1.36%"
"10/23/2024","4.0390","3.9990","4.0590","3.9940","1.03%"
"10/22/2024","3.9980","3.9980","4.0120","3.9530","0.81%"
"10/21/2024","3.9660","3.9200","3.9670","3.9090","1.43%"
"10/18/2024","3.9100","3.9740","3.9820","3.9060","-1.01%"
"10/17/2024","3.9500","3.9490","3.9720","3.9310","0.53%"
"10/16/2024","3.9290","3.9720","3.9820","3.9160","-2.58%"
"10/15/2024","4.0330","4.0580","4.0770","4.0330","-1.27%"
"10/14/2024","4.0850","4.0780","4.1100","4.0650","0.32%"
"10/11/2024","4.0720","4.0830","4.1230","4.0640","-0.22%"
"10/10/2024","4.0810","4.0950","4.1390","4.0770","0.39%"
"10/09/2024","4.0650","4.0670","4.0770","4.0310","-0.20%"
"10/08/2024","4.0730","4.0980","4.1170","4.0630","-0.80%"
"10/07/2024","4.1060","4.0500","4.1100","4.0420","2.19%"
"10/04/2024","4.0180","3.9000","4.0270","3.8810","3.88%"
"10/03/2024","3.8680","3.8940","3.9030","3.8420","-0.80%"
"10/02/2024","3.8990","3.8430","3.9270","3.8420","2.01%"
"10/01/2024","3.8220","3.8640","3.8640","3.7870","-1.06%"
"09/30/2024","3.8630","3.8310","3.8830","3.8220","0.99%"
"09/27/2024","3.8250","3.8450","3.8540","3.8130","-0.78%"
"09/26/2024","3.8550","3.8480","3.8630","3.8130","0.44%"
"09/25/2024","3.8380","3.7720","3.8480","3.7470","1.70%"
"09/24/2024","3.7740","3.7630","3.8250","3.7570","0.51%"
"09/23/2024","3.7550","3.7480","3.7900","3.6980","0.27%"
"09/20/2024","3.7450","3.7510","3.7640","3.7220","-0.08%"
"09/19/2024","3.7480","3.7300","3.7690","3.6930","0.78%"
"09/18/2024","3.7190","3.6470","3.7260","3.6440","2.20%"
"09/17/2024","3.6390","3.6060","3.6590","3.5890","0.66%"
"09/16/2024","3.6150","3.6160","3.6320","3.6040","-0.25%"
"09/13/2024","3.6240","3.6230","3.6410","3.6050","-0.52%"
"09/12/2024","3.6430","3.6210","3.6570","3.6040","0.55%"
"09/11/2024","3.6230","3.6600","3.6690","3.5980","-1.68%"
"09/10/2024","3.6850","3.7450","3.7630","3.6830","-1.10%"
"09/09/2024","3.7260","3.8160","3.8270","3.7240","-1.25%"
"09/06/2024","3.7730","3.7830","3.8330","3.7490","-0.97%"
"09/05/2024","3.8100","3.8150","3.8360","3.7930","-0.65%"
"09/04/2024","3.8350","3.8600","3.8670","3.8210","-1.36%"
"09/03/2024","3.8880","3.9260","3.9400","3.8510","-1.24%"
"09/02/2024","3.9370","3.9420","3.9520","3.9290","0.64%"
"08/30/2024","3.9120","3.9240","3.9260","3.8800","-0.23%"
"08/29/2024","3.9210","3.9190","3.9400","3.8870","0.15%"
"08/28/2024","3.9150","3.9100","3.9250","3.8810","0.08%"
"08/27/2024","3.9120","3.8940","3.9320","3.8860","4.88%"
"08/23/2024","3.7300","3.7610","3.7860","3.7220","-1.17%"
"08/22/2024","3.7740","3.7160","3.7790","3.6890","1.94%"
"08/21/2024","3.7020","3.7280","3.7540","3.7010","-0.88%"
"08/20/2024","3.7350","3.7440","3.7660","3.7260","-0.13%"
"08/19/2024","3.7400","3.7130","3.7600","3.7070","0.13%"
"08/16/2024","3.7350","3.6910","3.7530","3.6910","0.51%"
"08/15/2024","3.7160","3.6260","3.7300","3.6250","2.65%"
"08/14/2024","3.6200","3.6510","3.6620","3.6080","-1.68%"
"08/13/2024","3.6820","3.7120","3.7310","3.6640","-0.75%"
"08/12/2024","3.7100","3.7470","3.7550","3.7040","-0.48%"
"08/09/2024","3.7280","3.7370","3.7440","3.7050","-0.40%"
"08/08/2024","3.7430","3.6920","3.7490","3.6710","0.86%"
"08/07/2024","3.7110","3.6930","3.7380","3.6930","0.57%"
"08/06/2024","3.6900","3.6590","3.7030","3.6260","1.54%"
"08/05/2024","3.6340","3.5470","3.6390","3.4780","1.23%"
"08/02/2024","3.5900","3.6230","3.6440","3.5470","-2.07%"
"08/01/2024","3.6660","3.7340","3.7520","3.6340","-2.66%"
"07/31/2024","3.7660","3.8270","3.8290","3.7650","-2.05%"
"07/30/2024","3.8450","3.8540","3.8790","3.8320","-0.57%"
"07/29/2024","3.8670","3.8790","3.8820","3.8290","-0.77%"
"07/26/2024","3.8970","3.9380","3.9660","3.8740","-0.61%"
"07/25/2024","3.9210","3.9450","3.9490","3.8730","-0.61%"
"07/24/2024","3.9450","3.9460","3.9660","3.9230","0.08%"
"07/23/2024","3.9420","3.9740","3.9870","3.9410","-1.05%"
"07/22/2024","3.9840","3.9150","3.9850","3.9120","1.30%"
"07/19/2024","3.9330","3.8990","3.9490","3.8890","1.00%"
"07/18/2024","3.8940","3.9070","3.9160","3.8580","-0.51%"
"07/17/2024","3.9140","3.9000","3.9390","3.8900","0.77%"
"07/16/2024","3.8840","3.9390","3.9410","3.8760","-1.47%"
"07/15/2024","3.9420","3.9590","3.9630","3.9250","-0.30%"
"07/12/2024","3.9540","3.8770","3.9860","3.8770","0.79%"
"07/11/2024","3.9230","3.9820","4.0290","3.9190","-1.36%"
"07/10/2024","3.9770","3.9890","3.9890","3.9430","-0.67%"
"07/09/2024","4.0040","3.9750","4.0200","3.9640","0.93%"
"07/08/2024","3.9670","4.0160","4.0170","3.9480","-0.43%"
"07/05/2024","3.9840","4.0340","4.0380","3.9790","-1.68%"
"07/04/2024","4.0520","4.0390","4.0620","4.0350","0.50%"
"07/03/2024","4.0320","4.0810","4.0960","4.0120","-1.32%"
"07/02/2024","4.0860","4.0880","4.1070","4.0560","-0.70%"
"07/01/2024","4.1150","4.0540","4.1210","4.0540","2.24%"
"06/28/2024","4.0250","4.0150","4.0480","3.9820","0.15%"
"06/27/2024","4.0190","4.0220","4.0500","4.0000","0.25%"
"06/26/2024","4.0090","3.9590","4.0240","3.9590","1.26%"
"06/25/2024","3.9590","3.9250","3.9660","3.9100","0.30%"
"06/24/2024","3.9470","3.9290","3.9550","3.9050","0.25%"
"06/21/2024","3.9370","3.8840","3.9500","3.8550","0.79%"
"06/20/2024","3.9060","3.9610","3.9710","3.8800","-0.89%"
"06/19/2024","3.9410","3.9230","3.9670","3.9170","0.33%"
"06/18/2024","3.9280","3.9890","4.0040","3.9210","-1.73%"
"06/17/2024","3.9970","3.9570","4.0040","3.9410","1.19%"
"06/14/2024","3.9500","3.9940","4.0000","3.9180","-1.32%"
"06/13/2024","4.0030","4.0380","4.0660","3.9950","-0.25%"
"06/12/2024","4.0130","4.1290","4.1440","4.0040","-3.28%"
"06/11/2024","4.1490","4.1820","4.1920","4.1330","-1.50%"
"06/10/2024","4.2120","4.1640","4.2140","4.1640","1.47%"
"06/07/2024","4.1510","4.0870","4.1660","4.0630","2.02%"
"06/06/2024","4.0690","4.1130","4.1170","4.0560","-0.78%"
"06/05/2024","4.1010","4.1160","4.1370","4.0890","0.12%"
"06/04/2024","4.0960","4.1320","4.1350","4.0680","-0.65%"
"06/03/2024","4.1230","4.2010","4.2100","4.1170","-2.18%"
"05/31/2024","4.2150","4.2500","4.2800","4.1950","-0.50%"
"05/30/2024","4.2360","4.2850","4.2880","4.2360","-1.53%"
"05/29/2024","4.3020","4.2250","4.3030","4.2170","2.67%"
"05/28/2024","4.1900","4.1530","4.1960","4.1280","0.12%"
"05/24/2024","4.1850","4.1740","4.2140","4.1500","0.22%"
"05/23/2024","4.1760","4.1440","4.1920","4.1020","0.80%"
"05/22/2024","4.1430","4.1350","4.1700","4.1230","3.21%"
"05/21/2024","4.0140","4.0620","4.0620","4.0050","-0.99%"
"05/20/2024","4.0540","4.0260","4.0630","4.0090","0.97%"
"05/17/2024","4.0150","3.9760","4.0190","3.9670","0.98%"
"05/16/2024","3.9760","3.9380","3.9760","3.9310","0.51%"
"05/15/2024","3.9560","4.0240","4.0260","3.9450","-2.44%"
"05/14/2024","4.0550","4.0620","4.0870","4.0160","-0.12%"
"05/13/2024","4.0600","4.0320","4.0630","4.0110","0.35%"
"05/10/2024","4.0460","3.9960","4.0480","3.9640","1.02%"
"05/09/2024","4.0050","4.0440","4.0660","3.9950","-0.62%"
"05/08/2024","4.0300","4.0570","4.0590","4.0220","0.10%"
"05/07/2024","4.0260","4.0630","4.0780","4.0180","-2.00%"
"05/03/2024","4.1080","4.1780","4.1860","4.0820","-1.65%"
"05/02/2024","4.1770","4.2280","4.2360","4.1720","-2.20%"
"05/01/2024","4.2710","4.2870","4.3060","4.2460","0.31%"
"04/30/2024","4.2580","4.2180","4.2690","4.1980","1.14%"
"04/29/2024","4.2100","4.2340","4.2380","4.1910","-0.89%"
"04/26/2024","4.2480","4.2510","4.2700","4.2180","-0.40%"
"04/25/2024","4.2650","4.2310","4.2970","4.1970","0.97%"
"04/24/2024","4.2240","4.1690","4.2520","4.1560","2.30%"
"04/23/2024","4.1290","4.1070","4.1770","4.0930","1.05%"
"04/22/2024","4.0860","4.1570","4.1590","4.0840","-1.11%"
"04/19/2024","4.1320","4.1620","4.2140","4.1210","-1.60%"
"04/18/2024","4.1990","4.1470","4.2000","4.1280","0.36%"
"04/17/2024","4.1840","4.2190","4.2580","4.1810","-0.50%"
"04/16/2024","4.2050","4.1680","4.2440","4.1420","1.59%"
"04/15/2024","4.1390","4.0910","4.1630","4.0830","2.40%"
