Date,Rate_1-Month,Rate_3-Month,Rate_1-Year,Rate_2-Year,Rate_5-Year,Rate_10-Year
1995-01-05,6.03,6.43,7.81,8.106,8.652,8.734
1995-01-06,6.0,,7.75,8.051,8.593,8.651
1995-01-09,6.03,6.5,8.9276,8.095,8.669,8.713
1995-01-10,,6.5,8.9237,8.04,8.678,8.719
1995-01-11,,6.46,7.69,7.962,8.642,8.714
1995-01-12,,6.31,7.62,7.959,8.627,8.689
1995-01-13,,6.75,7.63,7.869,8.556,8.631
1995-01-16,,6.4,7.62,7.93,8.577,8.632
1995-01-17,,6.43,7.68,7.927,8.57,8.649
1995-01-18,,6.5,7.75,7.959,8.608,8.665
1995-01-19,,6.96,7.81,7.956,8.598,8.665
1995-01-20,,6.56,7.81,7.995,8.611,8.68
1995-01-23,,7.03,7.75,8.004,8.666,8.75
1995-01-24,6.31,6.68,7.81,8.001,8.659,8.756
1995-01-25,,6.62,7.78,7.998,8.678,8.751
1995-01-26,,7.09,7.78,7.954,8.613,8.725
1995-01-27,,6.68,7.69,7.933,8.543,8.653
1995-01-30,,6.75,7.75,7.942,8.578,8.675
1995-01-31,,6.71,7.68,7.868,8.522,8.639
1995-02-01,,6.69,7.6,8.208,8.502,8.53
1995-02-02,,6.75,7.62,8.22,8.522,8.539
1995-02-03,,6.75,7.81,8.206,8.515,8.548
1995-02-06,,6.75,7.68,8.243,8.532,8.571
1995-02-07,,6.75,6.6,8.146,8.44,8.467
1995-02-08,,6.69,6.56,8.163,8.46,8.494
1995-02-09,,6.68,7.68,8.162,8.454,8.48
1995-02-10,,6.75,6.63,8.324,8.573,8.602
1995-02-13,6.62,6.75,7.87,8.433,8.646,8.724
1995-02-14,6.62,6.75,7.87,8.419,8.646,8.716
1995-02-15,6.56,6.71,7.75,8.268,8.511,8.594
1995-02-16,6.5,6.68,7.75,8.267,8.533,8.62
1995-02-17,6.5,6.72,7.75,8.28,8.554,8.639
1995-02-20,6.56,6.75,7.75,8.318,8.581,8.671
1995-02-21,,6.75,7.75,8.317,8.638,8.716
1995-02-22,,6.69,7.68,8.245,8.568,8.639
1995-02-23,,6.68,7.62,8.151,8.462,8.566
1995-02-24,,6.68,7.62,8.315,8.639,8.697
1995-02-27,,6.68,7.65,8.215,8.569,8.634
1995-02-28,,6.68,7.65,8.214,8.556,8.615
1995-03-01,,6.63,7.68,8.19,8.463,8.53
1995-03-02,,6.68,7.75,8.112,8.464,8.558
1995-03-03,,6.68,7.65,8.183,8.527,8.62
1995-03-06,,6.63,7.65,8.266,8.641,8.74
1995-03-07,,6.68,7.73,8.365,8.735,8.818
1995-03-08,,6.9,7.75,8.265,8.614,8.684
1995-03-09,,6.71,7.78,8.305,8.651,8.734
1995-03-10,,6.75,7.75,8.218,8.594,8.652
1995-03-13,,6.68,7.75,8.261,8.595,8.661
1995-03-14,,6.63,7.69,8.121,8.445,8.507
1995-03-15,,6.62,7.62,8.075,8.439,8.499
1995-03-16,,6.62,7.62,7.92,8.312,8.391
1995-03-17,,6.6,7.62,8.118,8.453,8.507
1995-03-20,,6.62,7.62,8.002,8.36,8.44
1995-03-21,,6.62,7.62,7.983,8.333,8.408
1995-03-22,,6.56,7.56,8.028,8.376,8.49
1995-03-23,,6.56,7.56,7.941,8.34,8.444
1995-03-24,,6.62,7.56,7.926,8.327,8.423
1995-03-27,,,7.5,7.937,8.341,8.444
1995-03-28,,6.56,7.56,7.977,8.384,8.48
1995-03-29,,6.62,7.56,8.021,8.428,8.539
1995-03-30,,6.62,7.38,7.893,8.314,8.435
1995-03-31,,6.62,7.5,7.946,8.342,8.486
1995-04-03,6.34,6.68,7.56,7.971,8.315,8.427
1995-04-04,6.31,6.69,7.56,7.97,8.292,8.408
1995-04-05,6.25,6.56,7.5,7.9,8.272,8.387
1995-04-06,,6.56,7.5,7.899,8.286,8.418
1995-04-07,,6.62,7.5,7.843,8.232,8.378
1995-04-10,,6.5,7.5,7.872,8.275,8.445
1995-04-11,,6.56,7.44,7.885,8.275,8.441
1995-04-12,,6.56,7.4,7.755,8.199,8.359
1995-04-13,,6.56,7.44,7.74,8.17,8.307
1995-04-18,,6.62,7.37,7.789,8.184,8.315
1995-04-19,,6.56,7.5,7.904,8.29,8.427
1995-04-20,,6.62,7.44,7.801,8.213,8.338
1995-04-21,,6.62,7.44,7.786,8.213,8.328
1995-04-24,,6.75,7.5,7.783,8.234,8.334
1995-04-25,6.5,6.87,7.56,7.913,8.321,8.409
1995-04-26,6.5,6.93,7.62,7.841,8.221,8.338
1995-04-27,,6.93,10.6421,7.897,8.228,8.374
1995-04-28,,6.93,7.68,7.999,8.315,8.435
1995-05-01,,6.94,7.68,7.968,8.304,8.439
1995-05-02,,6.96,7.69,7.981,8.304,8.421
1995-05-03,,6.93,7.62,7.834,8.176,8.314
1995-05-04,,6.94,7.56,7.758,8.112,8.238
1995-05-05,6.75,6.87,7.38,7.832,8.112,8.23
1995-05-08,,,,7.8574,,
1995-05-09,,6.69,7.5,7.738,8.069,8.224
1995-05-10,,6.68,7.37,7.675,7.963,8.097
