Date,Rate_1-Month,Rate_3-Month,Rate_1-Year,Rate_2-Year,Rate_5-Year,Rate_10-Year
1995-01-05,6.03,6.43,7.81,8.106,8.652,8.734
1995-01-06,6.0,6.4475,7.75,8.051,8.593,8.651
1995-01-07,6.01,6.465,8.142533333333333,8.065666666666667,8.618333333333334,8.671666666666667
1995-01-08,6.0200000000000005,6.4825,8.535066666666667,8.080333333333334,8.643666666666666,8.692333333333332
1995-01-09,6.03,6.5,8.9276,8.095,8.669,8.713
1995-01-10,6.048666666666667,6.5,8.9237,8.04,8.678,8.719
1995-01-11,6.067333333333334,6.46,7.69,7.962,8.642,8.714
1995-01-12,6.086,6.31,7.62,7.959,8.627,8.689
1995-01-13,6.104666666666667,6.75,7.63,7.869,8.556,8.631
1995-01-14,6.123333333333333,6.633333333333334,7.626666666666667,7.889333333333333,8.562999999999999,8.631333333333334
1995-01-15,6.142,6.516666666666667,7.623333333333333,7.909666666666666,8.57,8.631666666666666
1995-01-16,6.160666666666667,6.4,7.62,7.93,8.577,8.632
1995-01-17,6.179333333333333,6.43,7.68,7.927,8.57,8.649
1995-01-18,6.1979999999999995,6.5,7.75,7.959,8.608,8.665
1995-01-19,6.216666666666667,6.96,7.81,7.956,8.598,8.665
1995-01-20,6.235333333333333,6.56,7.81,7.995,8.611,8.68
1995-01-21,6.254,6.716666666666667,7.79,7.998,8.629333333333333,8.703333333333333
1995-01-22,6.272666666666666,6.873333333333333,7.77,8.001,8.647666666666668,8.726666666666667
1995-01-23,6.291333333333333,7.03,7.75,8.004,8.666,8.75
1995-01-24,6.31,6.68,7.81,8.001,8.659,8.756
1995-01-25,6.3255,6.62,7.78,7.998,8.678,8.751
1995-01-26,6.340999999999999,7.09,7.78,7.954,8.613,8.725
1995-01-27,6.3565,6.68,7.69,7.933,8.543,8.653
1995-01-28,6.372,6.703333333333333,7.71,7.936,8.554666666666666,8.660333333333334
1995-01-29,6.387499999999999,6.726666666666667,7.73,7.939,8.566333333333333,8.667666666666667
1995-01-30,6.403,6.75,7.75,7.942,8.578,8.675
1995-01-31,6.4185,6.71,7.68,7.868,8.522,8.639
1995-02-01,6.434,6.69,7.6,8.208,8.502,8.53
1995-02-02,6.4495,6.75,7.62,8.22,8.522,8.539
1995-02-03,6.465,6.75,7.81,8.206,8.515,8.548
1995-02-04,6.4805,6.75,7.766666666666667,8.218333333333334,8.520666666666667,8.555666666666667
1995-02-05,6.4959999999999996,6.75,7.723333333333333,8.230666666666666,8.526333333333334,8.563333333333333
1995-02-06,6.5115,6.75,7.68,8.243,8.532,8.571
1995-02-07,6.527,6.75,6.6,8.146,8.44,8.467
